# A Homogeneous Main-Sequence Model
# The surface conditions are: The central conditions are:
# Mtot = 1.200000E+00 Msun, Mc/Mtot = 5.62927E-01
# Rtot = 5.202038E-01 Rsun, Rc/Rtot = 3.27000E-01
# Ltot = 1.000000E+00 Lsun, Lc/Ltot = -7.60371E-02
# Teff = 8.000000E+03 K, Density = 1.93289E+02
# X = 7.000000E-01, Temperature = 3.65560E+07
# Y = 2.800000E-01, Pressure = 9.44349E+17 dynes/cm**2
# Z = 2.000000E-02, epsilon = -2.16522E-01 ergs/s/g
# dlnP/dlnT = 3.52738E+01
# Notes:
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot = 1.989000E+33
# (2) Convective zones are indicated by 'c', radiative zones by 'r'
# (3) dlnP/dlnT may be limited to +99.9 or -99.9, labeled by '*'
r,Qm,L_r,T,P,rho,kappa,eps,dlPdlT,Zone
1.18E+10,4.37E-01,-2.91E+32,1.23E+07,2.13E+17,1.30E+02,5.15E+00,1.42E+01, 35.3,r
1.22E+10,4.04E-01,7.63E+32,1.22E+07,1.85E+17,1.13E+02,4.68E+00,1.22E+01,  8.6,r
1.26E+10,3.73E-01,1.58E+33,1.20E+07,1.60E+17,9.97E+01,4.47E+00,9.96E+00,  6.2,r
1.29E+10,3.44E-01,2.20E+33,1.17E+07,1.39E+17,8.84E+01,4.39E+00,7.95E+00,  5.3,r
1.33E+10,3.16E-01,2.66E+33,1.14E+07,1.20E+17,7.86E+01,4.37E+00,6.24E+00,  4.9,r
1.36E+10,2.91E-01,3.00E+33,1.11E+07,1.04E+17,6.99E+01,4.40E+00,4.84E+00,  4.6,r
1.40E+10,2.67E-01,3.25E+33,1.07E+07,8.92E+16,6.22E+01,4.45E+00,3.72E+00,  4.5,r
1.44E+10,2.44E-01,3.42E+33,1.04E+07,7.67E+16,5.53E+01,4.53E+00,2.84E+00,  4.4,r
1.47E+10,2.23E-01,3.55E+33,1.00E+07,6.58E+16,4.91E+01,4.62E+00,2.15E+00,  4.4,r
1.51E+10,2.04E-01,3.63E+33,9.67E+06,5.63E+16,4.36E+01,4.71E+00,1.61E+00,  4.4,r
1.55E+10,1.85E-01,3.69E+33,9.33E+06,4.82E+16,3.86E+01,4.82E+00,1.21E+00,  4.4,r
1.58E+10,1.68E-01,3.74E+33,9.00E+06,4.11E+16,3.42E+01,4.93E+00,8.98E-01,  4.4,r
1.62E+10,1.53E-01,3.77E+33,8.67E+06,3.50E+16,3.02E+01,5.05E+00,6.64E-01,  4.4,r
1.65E+10,1.38E-01,3.79E+33,8.36E+06,2.98E+16,2.67E+01,5.17E+00,4.89E-01,  4.4,r
1.69E+10,1.25E-01,3.80E+33,8.05E+06,2.53E+16,2.35E+01,5.29E+00,3.58E-01,  4.4,r
1.73E+10,1.13E-01,3.81E+33,7.75E+06,2.15E+16,2.07E+01,5.41E+00,2.61E-01,  4.4,r
1.76E+10,1.01E-01,3.81E+33,7.47E+06,1.82E+16,1.82E+01,5.54E+00,1.89E-01,  4.4,r
1.80E+10,9.09E-02,3.82E+33,7.19E+06,1.54E+16,1.60E+01,5.67E+00,1.36E-01,  4.4,r
1.84E+10,8.15E-02,3.82E+33,6.92E+06,1.30E+16,1.40E+01,5.80E+00,9.78E-02,  4.4,r
1.87E+10,7.29E-02,3.82E+33,6.66E+06,1.09E+16,1.23E+01,5.93E+00,6.98E-02,  4.4,r
1.91E+10,6.50E-02,3.82E+33,6.40E+06,9.21E+15,1.08E+01,6.07E+00,4.96E-02,  4.5,r
1.94E+10,5.79E-02,3.82E+33,6.16E+06,7.74E+15,9.40E+00,6.21E+00,3.50E-02,  4.5,r
1.98E+10,5.15E-02,3.83E+33,5.92E+06,6.50E+15,8.21E+00,6.35E+00,2.45E-02,  4.5,r
2.02E+10,4.56E-02,3.83E+33,5.69E+06,5.45E+15,7.15E+00,6.50E+00,1.71E-02,  4.5,r
2.05E+10,4.04E-02,3.83E+33,5.47E+06,4.55E+15,6.23E+00,6.65E+00,1.18E-02,  4.5,r
2.09E+10,3.56E-02,3.83E+33,5.25E+06,3.80E+15,5.41E+00,6.80E+00,8.15E-03,  4.5,r
2.13E+10,3.13E-02,3.83E+33,5.05E+06,3.17E+15,4.70E+00,6.96E+00,5.57E-03,  4.5,r
