# A Homogeneous Main-Sequence Model
# The surface conditions are: The central conditions are:
# Mtot = 1.200000E+00 Msun, Mc/Mtot = 4.66063E-01
# Rtot = 5.202038E-01 Rsun, Rc/Rtot = 3.28000E-01
# Ltot = 1.000000E+00 Lsun, Lc/Ltot = -2.36396E-01
# Teff = 8.000000E+03 K, Density = 1.58570E+02
# X = 7.000000E-01, Temperature = 3.39216E+07
# Y = 2.900000E-01, Pressure = 7.20002E+17 dynes/cm**2
# Z = 1.000000E-02, epsilon = -8.13063E-01 ergs/s/g
# dlnP/dlnT = -1.64303E+01
# Notes:
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot = 1.989000E+33
# (2) Convective zones are indicated by 'c', radiative zones by 'r'
# (3) dlnP/dlnT may be limited to +99.9 or -99.9, labeled by '*'
r,Qm,L_r,T,P,rho,kappa,eps,dlPdlT,Zone
1.19E+10,5.34E-01,-9.04E+32,1.16E+07,2.24E+17,1.44E+02,4.36E+00,1.25E+01,-16.4,c
1.22E+10,4.97E-01,1.65E+32,1.17E+07,1.98E+17,1.27E+02,3.83E+00,1.13E+01, 13.9,r
1.26E+10,4.61E-01,1.05E+33,1.16E+07,1.75E+17,1.13E+02,3.60E+00,9.67E+00,  7.2,r
1.30E+10,4.28E-01,1.75E+33,1.14E+07,1.54E+17,1.01E+02,3.48E+00,8.00E+00,  5.7,r
1.33E+10,3.97E-01,2.29E+33,1.11E+07,1.35E+17,9.08E+01,3.44E+00,6.47E+00,  5.0,r
1.37E+10,3.67E-01,2.71E+33,1.08E+07,1.19E+17,8.17E+01,3.44E+00,5.16E+00,  4.7,r
1.40E+10,3.38E-01,3.02E+33,1.05E+07,1.04E+17,7.34E+01,3.47E+00,4.06E+00,  4.5,r
1.44E+10,3.11E-01,3.25E+33,1.02E+07,9.02E+16,6.59E+01,3.51E+00,3.16E+00,  4.4,r
1.48E+10,2.86E-01,3.42E+33,9.89E+06,7.83E+16,5.91E+01,3.57E+00,2.44E+00,  4.3,r
1.51E+10,2.62E-01,3.54E+33,9.56E+06,6.78E+16,5.30E+01,3.63E+00,1.87E+00,  4.3,r
1.55E+10,2.40E-01,3.63E+33,9.24E+06,5.86E+16,4.73E+01,3.71E+00,1.42E+00,  4.3,r
1.59E+10,2.19E-01,3.69E+33,8.92E+06,5.05E+16,4.22E+01,3.79E+00,1.07E+00,  4.3,r
1.62E+10,1.99E-01,3.73E+33,8.61E+06,4.34E+16,3.76E+01,3.87E+00,8.03E-01,  4.3,r
1.66E+10,1.81E-01,3.76E+33,8.31E+06,3.72E+16,3.35E+01,3.95E+00,5.98E-01,  4.3,r
1.69E+10,1.64E-01,3.78E+33,8.01E+06,3.19E+16,2.97E+01,4.04E+00,4.43E-01,  4.3,r
1.73E+10,1.49E-01,3.80E+33,7.72E+06,2.72E+16,2.63E+01,4.13E+00,3.26E-01,  4.3,r
1.77E+10,1.34E-01,3.81E+33,7.44E+06,2.32E+16,2.33E+01,4.22E+00,2.39E-01,  4.3,r
1.80E+10,1.21E-01,3.81E+33,7.17E+06,1.98E+16,2.06E+01,4.31E+00,1.74E-01,  4.3,r
1.84E+10,1.09E-01,3.82E+33,6.90E+06,1.68E+16,1.82E+01,4.41E+00,1.26E-01,  4.3,r
1.88E+10,9.74E-02,3.82E+33,6.65E+06,1.42E+16,1.60E+01,4.50E+00,9.03E-02,  4.4,r
1.91E+10,8.72E-02,3.82E+33,6.40E+06,1.20E+16,1.41E+01,4.60E+00,6.45E-02,  4.4,r
1.95E+10,7.78E-02,3.82E+33,6.15E+06,1.02E+16,1.23E+01,4.70E+00,4.58E-02,  4.4,r
1.98E+10,6.93E-02,3.82E+33,5.92E+06,8.56E+15,1.08E+01,4.80E+00,3.23E-02,  4.4,r
2.02E+10,6.16E-02,3.83E+33,5.69E+06,7.20E+15,9.45E+00,4.90E+00,2.26E-02,  4.4,r
2.06E+10,5.46E-02,3.83E+33,5.47E+06,6.05E+15,8.26E+00,5.01E+00,1.57E-02,  4.4,r
2.09E+10,4.82E-02,3.83E+33,5.25E+06,5.06E+15,7.20E+00,5.12E+00,1.09E-02,  4.4,r
2.13E+10,4.25E-02,3.83E+33,5.05E+06,4.23E+15,6.27E+00,5.23E+00,7.46E-03,  4.4,r
2.17E+10,3.74E-02,3.83E+33,4.84E+06,3.53E+15,5.44E+00,5.34E+00,5.08E-03,  4.4,r
2.20E+10,3.28E-02,3.83E+33,4.65E+06,2.94E+15,4.72E+00,5.45E+00,3.43E-03,  4.5,r
2.24E+10,2.87E-02,3.83E+33,4.46E+06,2.44E+15,4.09E+00,5.57E+00,2.29E-03,  4.5,r
2.27E+10,2.50E-02,3.83E+33,4.27E+06,2.02E+15,3.53E+00,5.70E+00,1.52E-03,  4.5,r
2.31E+10,2.17E-02,3.83E+33,4.09E+06,1.67E+15,3.04E+00,5.82E+00,9.98E-04,  4.5,r
2.35E+10,1.88E-02,3.83E+33,3.92E+06,1.37E+15,2.62E+00,5.96E+00,6.48E-04,  4.5,r
2.38E+10,1.62E-02,3.83E+33,3.75E+06,1.13E+15,2.24E+00,6.09E+00,4.17E-04,  4.5,r
2.42E+10,1.39E-02,3.83E+33,3.59E+06,9.22E+14,1.92E+00,6.23E+00,2.65E-04,  4.5,r
2.45E+10,1.19E-02,3.83E+33,3.43E+06,7.52E+14,1.64E+00,6.38E+00,1.66E-04,  4.5,r
2.49E+10,1.01E-02,3.83E+33,3.27E+06,6.11E+14,1.39E+00,6.54E+00,1.03E-04,  4.5,r
2.49E+10,9.98E-03,3.83E+33,3.26E+06,5.98E+14,1.37E+00,6.55E+00,9.77E-05,  4.5,r
2.50E+10,9.82E-03,3.83E+33,3.24E+06,5.86E+14,1.35E+00,6.57E+00,9.31E-05,  4.5,r
2.50E+10,9.66E-03,3.83E+33,3.23E+06,5.74E+14,1.33E+00,6.58E+00,8.86E-05,  4.5,r
2.51E+10,9.50E-03,3.83E+33,3.21E+06,5.62E+14,1.31E+00,6.60E+00,8.44E-05,  4.5,r
2.51E+10,9.35E-03,3.83E+33,3.20E+06,5.50E+14,1.28E+00,6.62E+00,8.03E-05,  4.5,r
2.51E+10,9.19E-03,3.83E+33,3.18E+06,5.38E+14,1.26E+00,6.63E+00,7.64E-05,  4.5,r
2.52E+10,9.04E-03,3.83E+33,3.17E+06,5.27E+14,1.24E+00,6.65E+00,7.27E-05,  4.5,r
2.52E+10,8.89E-03,3.83E+33,3.15E+06,5.16E+14,1.22E+00,6.66E+00,6.92E-05,  4.5,r
2.52E+10,8.75E-03,3.83E+33,3.14E+06,5.05E+14,1.20E+00,6.68E+00,6.58E-05,  4.5,r
2.53E+10,8.60E-03,3.83E+33,3.12E+06,4.94E+14,1.18E+00,6.70E+00,6.26E-05,  4.5,r
2.53E+10,8.46E-03,3.83E+33,3.11E+06,4.84E+14,1.16E+00,6.71E+00,5.95E-05,  4.5,r
2.53E+10,8.32E-03,3.83E+33,3.09E+06,4.74E+14,1.14E+00,6.73E+00,5.66E-05,  4.5,r
2.54E+10,8.18E-03,3.83E+33,3.08E+06,4.63E+14,1.12E+00,6.75E+00,5.38E-05,  4.5,r
2.54E+10,8.04E-03,3.83E+33,3.06E+06,4.54E+14,1.11E+00,6.76E+00,5.11E-05,  4.5,r
2.55E+10,7.91E-03,3.83E+33,3.05E+06,4.44E+14,1.09E+00,6.78E+00,4.86E-05,  4.5,r
2.55E+10,7.77E-03,3.83E+33,3.03E+06,4.34E+14,1.07E+00,6.80E+00,4.62E-05,  4.5,r
2.55E+10,7.64E-03,3.83E+33,3.02E+06,4.25E+14,1.05E+00,6.81E+00,4.39E-05,  4.5,r
2.56E+10,7.51E-03,3.83E+33,3.01E+06,4.16E+14,1.03E+00,6.83E+00,4.17E-05,  4.5,r
2.56E+10,7.39E-03,3.83E+33,2.99E+06,4.07E+14,1.02E+00,6.85E+00,3.96E-05,  4.5,r
2.56E+10,7.26E-03,3.83E+33,2.98E+06,3.98E+14,9.99E-01,6.87E+00,3.76E-05,  4.5,r
2.57E+10,7.13E-03,3.83E+33,2.96E+06,3.90E+14,9.82E-01,6.88E+00,3.57E-05,  4.5,r
2.57E+10,7.01E-03,3.83E+33,2.95E+06,3.81E+14,9.65E-01,6.90E+00,3.38E-05,  4.5,r
2.57E+10,6.89E-03,3.83E+33,2.93E+06,3.73E+14,9.49E-01,6.92E+00,3.21E-05,  4.5,r
2.58E+10,6.77E-03,3.83E+33,2.92E+06,3.65E+14,9.33E-01,6.93E+00,3.05E-05,  4.5,r
2.58E+10,6.66E-03,3.83E+33,2.91E+06,3.57E+14,9.17E-01,6.95E+00,2.89E-05,  4.5,r
2.59E+10,6.54E-03,3.83E+33,2.89E+06,3.49E+14,9.01E-01,6.97E+00,2.74E-05,  4.5,r
2.59E+10,6.43E-03,3.83E+33,2.88E+06,3.41E+14,8.86E-01,6.99E+00,2.60E-05,  4.5,r
2.59E+10,6.31E-03,3.83E+33,2.86E+06,3.34E+14,8.71E-01,7.01E+00,2.47E-05,  4.5,r
2.60E+10,6.20E-03,3.83E+33,2.85E+06,3.26E+14,8.56E-01,7.02E+00,2.34E-05,  4.5,r
2.60E+10,6.09E-03,3.83E+33,2.83E+06,3.19E+14,8.41E-01,7.04E+00,2.22E-05,  4.5,r
2.60E+10,5.99E-03,3.83E+33,2.82E+06,3.12E+14,8.26E-01,7.06E+00,2.10E-05,  4.5,r
2.61E+10,5.88E-03,3.83E+33,2.81E+06,3.05E+14,8.12E-01,7.08E+00,1.99E-05,  4.5,r
2.61E+10,5.78E-03,3.83E+33,2.79E+06,2.98E+14,7.98E-01,7.10E+00,1.89E-05,  4.5,r
2.61E+10,5.67E-03,3.83E+33,2.78E+06,2.92E+14,7.84E-01,7.11E+00,1.79E-05,  4.5,r
2.62E+10,5.57E-03,3.83E+33,2.76E+06,2.85E+14,7.71E-01,7.13E+00,1.69E-05,  4.5,r
2.62E+10,5.47E-03,3.83E+33,2.75E+06,2.79E+14,7.57E-01,7.15E+00,1.60E-05,  4.5,r
2.62E+10,5.37E-03,3.83E+33,2.74E+06,2.73E+14,7.44E-01,7.17E+00,1.52E-05,  4.5,r
2.63E+10,5.28E-03,3.83E+33,2.72E+06,2.67E+14,7.31E-01,7.19E+00,1.43E-05,  4.5,r
2.63E+10,5.18E-03,3.83E+33,2.71E+06,2.61E+14,7.18E-01,7.21E+00,1.36E-05,  4.5,r
2.64E+10,5.09E-03,3.83E+33,2.70E+06,2.55E+14,7.05E-01,7.23E+00,1.28E-05,  4.5,r
2.64E+10,4.99E-03,3.83E+33,2.68E+06,2.49E+14,6.93E-01,7.25E+00,1.21E-05,  4.5,r
2.64E+10,4.90E-03,3.83E+33,2.67E+06,2.43E+14,6.81E-01,7.27E+00,1.15E-05,  4.5,r
2.65E+10,4.81E-03,3.83E+33,2.66E+06,2.38E+14,6.68E-01,7.29E+00,1.09E-05,  4.5,r
2.65E+10,4.72E-03,3.83E+33,2.64E+06,2.32E+14,6.57E-01,7.30E+00,1.03E-05,  4.5,r
2.65E+10,4.64E-03,3.83E+33,2.63E+06,2.27E+14,6.45E-01,7.32E+00,9.70E-06,  4.5,r
2.66E+10,4.55E-03,3.83E+33,2.61E+06,2.22E+14,6.33E-01,7.34E+00,9.17E-06,  4.5,r
